word;label;src;page;ctx
командно-административной;составное;1991_v16;IMG_0674_R;нам, что, безусловно, было выгодно командно-административной системе. Наша задача — борьба с пр
по-крупному;составное;1991_v16;IMG_0674_R;мелочи, а заниматься преступностью по-крупному. Нас же вполне намеренно втягивают
чем-то;составное;1991_v16;IMG_0674_R;представления о мелком бизнесе как чем-то предосудительном не так легко. Хот
каким-то;составное;1991_v16;IMG_0675_L;рубля. К тому же дефицит всегда по каким-то каналам уходил к привилегированном
три-четыре;составное;1991_v16;IMG_0675_R;остное положение, либо заплативший три-четыре цены.  **Корр.:** Но где же тогда 
эти-то;составное;1991_v16;IMG_0676_L; ничего не платят государству. Вот эти-то силы и вступают сейчас в яростное 
два-три;составное;1991_v16;IMG_0677_L;нке с уголовной преступностью. Еще два-три года назад никому не пришло бы в г
куда-то;составное;1991_v16;IMG_0677_L; фонд борьбы с преступностью, а не куда-то в безликий бюджет. Вот мы столкнул
материально-техническому;составное;1966_v16;IMG_0105_2R;Совета Министров Украинской ССР по материально-техническому снабжению*  В соответствии с решен
союзно-республиканские;составное;1966_v16;IMG_0105_2R;ссийской Федерации. В УССР созданы союзно-республиканские министерства черной металлургии, у
союзно-республиканскими;составное;1966_v16;IMG_0106_1L;"едприятий, находящихся на Украине; союзно-республиканскими министерствами СССР для соответств"
союзно-республиканского;составное;1966_v16;IMG_0106_1L; данные по предприятиям союзного и союзно-республиканского подчинения, а главснабы республика
заказ-наряды;составное;1966_v16;IMG_0106_1L;дов республики и специфицированные заказ-наряды на поставку с предприятий других р
заводам-поставщикам;составное;1966_v16;IMG_0106_1L;тов) выдают кооперированные заказы заводам-поставщикам с указанием спецификаций и получат
министерств-получателей;составное;1966_v16;IMG_0106_1L;. В этих заказах указываются шифры министерств-получателей, территориальных управлений, поста
заводам-изготовителям;составное;1966_v16;IMG_0106_2R;и.  План поставки дает возможность заводам-изготовителям заранее планировать обеспечение пр
наряд-заказов;составное;1966_v16;IMG_0106_2R;срока поставок достаточно выданных наряд-заказов и заключенных договоров. На самом 
наряд-заказах;составное;1966_v16;IMG_0106_2R;воров. На самом деле это не так. В наряд-заказах и договорах не конкретизированы ср
заводы-поставщики;составное;1966_v16;IMG_0106_2R;рованы сроки поставки. В договорах заводы-поставщики стараются проставить наиболее допу
ремонтно-эксплуатационных;составное;1966_v16;IMG_0107_1L;ь вопрос и с обеспечением металлом ремонтно-эксплуатационных нужд самой металлургической промыш
снабженческо-сбытовой;составное;1966_v16;IMG_0107_1L;обеспечивается. Для улучшения всей снабженческо-сбытовой работы целесообразно, чтобы террит
Снабженческо-сбытовые;составное;1966_v16;IMG_0107_2R;го улучшения складского снабжения. Снабженческо-сбытовые базы являются по существу специфич
предприятий-поставщиков;составное;1966_v16;IMG_0107_2R;ющими крупные партии материалов от предприятий-поставщиков для последующей подсортировки, ком
электронно-вычислительной;составное;1966_v16;IMG_0108_1L;ии, приспособленной для применения электронно-вычислительной техники. В республике имеется опыт
электронно-вычислительных;составное;1966_v16;IMG_0108_1L;хнического снабжения с применением электронно-вычислительных машин. В Киевском территориальном 
счетно-перфорационных;составное;1966_v16;IMG_0108_1L; приспособлена для суммирования на счетно-перфорационных машинах. Разработка сводного специ
научно-исследовательским;составное;1966_v16;IMG_0108_2R;ыми бесшовными трубами. Украинским научно-исследовательским трубным институтом совместно с инс
технико-экономических;составное;1966_v16;IMG_0109_1L;существляться дальнейшее повышение технико-экономических параметров, срока службы и надежно
заводов-поставщиков;составное;1966_v16;IMG_0109_2R;х пор каждый потребитель получал с заводов-поставщиков необходимые ему электроизделия. Зн
предприятий-потребителей;составное;1966_v16;IMG_0109_2R;ая часть из них оседала на складах предприятий-потребителей и не вовлекалась в оборот. Новый п
предприятиям-потребителям;составное;1966_v16;IMG_0110_1L;? Не проще ли дать право отдельным предприятиям-потребителям заказывать заводам-поставщикам, с 
подъемно-транспортного;составное;1966_v16;IMG_0110_2R;нинградским и Харьковским заводами подъемно-транспортного оборудования и заводом «Динамо» — 
заводами-поставщиками;составное;1966_v16;IMG_0110_2R;вязей по электрооборудованию между заводами-поставщиками и заводами-потребителями, в которо
заводами-потребителями;составное;1966_v16;IMG_0110_2R;анию между заводами-поставщиками и заводами-потребителями, в котором предусматривается поста
технико-экономическим;составное;1966_v16;IMG_0111_1L;лектротехнических изделий по своим технико-экономическим характеристикам уступают мировым с
министерства-поставщики;составное;1966_v16;IMG_0111_1L;ом качестве и принимать меры через министерства-поставщики к устранению этих недостатков.  Пр
министерствами-поставщиками;составное;1966_v16;IMG_0111_2R;емов производства и номенклатуры с министерствами-поставщиками, подготовлены и разосланы формы за
заводом-поставщиком;составное;1966_v16;IMG_0111_2R;ыми организациями, потребителями и заводом-поставщиком. 
завод-поставщик;составное;1966_v16;IMG_0112_1L;оставки. Только при таких условиях завод-поставщик справится вовремя с заданием.  К с
контрольно-диспетчерский;составное;1966_v16;IMG_0112_1L; структуре Союзглавэлектро имеется контрольно-диспетчерский отдел, который сосредоточивает всю
планово-производственным;составное;1966_v16;IMG_0112_1L;я всех потребителей осуществляется планово-производственным отделом и оперативными отделами, к
заказ-заявку;составное;1966_v16;IMG_0112_2R; объединения «Сельхозтехника» лишь заказ-заявку с указанием потребного количества 
франко-вагон;составное;1966_v16;IMG_0114_1L; минеральные удобрения оптовых цен франко-вагон станция назначения, в которые наря
Оптово-посреднические;составное;mini_v16;IMG_0067_L;ного обеспечения.  Принцип второй. Оптово-посреднические организации на уровне союза, респу
глав-снабам;спорно;mini_v16;IMG_0068_L;тры, которые стали альтернативными глав-снабам звеньями рыночной инфра-структуры.
инфра-структуры;перенос;mini_v16;IMG_0068_L;ными глав-снабам звеньями рыночной инфра-структуры. Из чисто информационных они превр
снабженческо-сбытовых;составное;mini_v16;IMG_0068_L;разного толка. У нас всего 8 тысяч снабженческо-сбытовых организаций, находящихся на самост
ба-лансе;перенос;mini_v16;IMG_0068_L;ий, находящихся на самостоятельном ба-лансе. А в странах с рыночной экономи-ко
экономи-кой;перенос;mini_v16;IMG_0068_L;м ба-лансе. А в странах с рыночной экономи-кой их в десятки раз больше. Кроме тог
ограничи-вается;перенос;mini_v16;IMG_0068_L;а, как я уже говорил, искусственно ограничи-вается межреспубликанскими и межоб-ластны
межоб-ластными;перенос;mini_v16;IMG_0068_L;аничи-вается межреспубликанскими и межоб-ластными барьерами. А биржевой товар не уде
соби-рается;перенос;mini_v16;IMG_0068_L;. На универсальных товарных биржах соби-рается большое количество продавцов и пок
купле-продаже;составное;mini_v16;IMG_0068_L;упателей, которые договариваются о купле-продаже, сами устанавливают цену на товар.
рес-публик;перенос;mini_v16;IMG_0068_L;я интересов товаропроизводителей и рес-публик создана Межреспубликанская товарна
ры-ночная;перенос;mini_v16;IMG_0068_L;ржи.  — Это совершенно независимая ры-ночная структура, которая в своей деятель
интереса-ми;перенос;mini_v16;IMG_0068_L;своей деятельности руководствуется интереса-ми всех членов биржи. А в биржевом ко
уче-дители;перенос;mini_v16;IMG_0068_L;м комитете — 41 представитель. Как уче-дители в него вошли все госснабы республи
бо-лее;перенос;mini_v16;IMG_0068_L;ую организацию. Среди членов биржи бо-лее половины — крупные промышлен-ные п
промышлен-ные;перенос;mini_v16;IMG_0068_L;ов биржи бо-лее половины — крупные промышлен-ные предприятия.  Мы не собираемся на 
предприятие-учредитель;составное;mini_v16;IMG_0068_L;Как и на любой бирже, у нас каждая предприятие-учредитель может само стоятельно создавать бр
териально-технического;спорно;mini_v16;IMG_0068_L;желающим. Территориальный орган ма териально-технического обеспечения или другая посредничес
кое-нибудь;составное;mini_v16;IMG_0068_L;ация, обслуживающая по договору ка кое-нибудь промышленное предприятие сможет пр
жилищно-коммунального;составное;mini_v16;IMG_0051_L;местной, топливной промышленности, жилищно-коммунального хозяйства и бытового обслуживания 
социально-экономического;составное;mini_v16;IMG_0051_L;оветов по обеспечению комплексного социально-экономического развития регионов создаются главны
планово-экономические;составное;mini_v16;IMG_0051_L;азвития регионов создаются главные планово-экономические управления (ГлавПЭУ). Они имеют бо
социально-экономическими;составное;mini_v16;IMG_0053_L;риториального самофинансирования и социально-экономическими результатами его внедрения. В связ
национально-территориальная;составное;mini_v16;IMG_0053_L;опустимы региональная замкнутость, национально-территориальная изолированность.  Разрабатывая про
чьи-то;составное;mini_v16;0070_L;ый. При этом реальная ситуация или чьи-то интересы диктуют необходимость их 
торгово-посреднических;составное;mini_v16;0070_L;имание уделили выработке концепции торгово-посреднических оптовых фирм. 
организационно-технических;составное;mini_v16;IMG_0046_L;ов, можно рассчитать эффективность организационно-технических мероприятий, обеспечивающих эконом
кому-либо;составное;mini_v16;IMG_0006_L;РСФСР в 1992 году». Вряд ли кому-либо надо объяснять, что подобный докум
какие-то;составное;mini_v16;IMG_0006_L;, хотел бы, разумеется, иметь хоть какие-то гарантии (пусть самые минимальные)
оптово-посреднической;составное;mini_v16;IMG_0006_L;й и взаимодействия с организациями оптово-посреднической сети снабжения.  Проект документа,
опорадминистративно-командной;составное;mini_v16;IMG_0006_R; виде вообще нет. Госснаб СССР как опорадминистративно-командной системы перестал существовать, Мин
матери-альных;перенос;mini_v16;IMG_0006_R;ерестал существовать, Министерство матери-альных ресурсов СССР как первый рыночный 
регулирова-ния;перенос;mini_v16;IMG_0006_R; рыночный вариант государственного регулирова-ния товарообращения не вписалось в нов
респуб-лик;перенос;mini_v16;IMG_0006_R;вать контрактная система на уровне респуб-лик! Об этом беседа нашего корреспонде
Госкомобес-печения;перенос;mini_v16;IMG_0006_R;орреспондента с начальником отдела Госкомобес-печения РСФСР Игорем Ивановичем *Коржаном*
товаропроизводите-лями;перенос;mini_v16;IMG_0006_R;ая система отношений государства с товаропроизводите-лями, если на свободных торгах поставщи
феде-ральная;перенос;mini_v16;IMG_0006_R; чисто ры-ночная. В США, например, феде-ральная контрактная система так же, как и 
Естест-венно;перенос;mini_v16;IMG_0006_R;ки для нужд бюджетных организаций. Естест-венно, контракты заключаются иск- 
материально-техническим;составное;mini_v16;IMG_0008_L;ддержке союзного органа управления материально-техническим обеспечением могут нуждаться и дру
тонно-проценту;спорно;1966_v6;IMG_0115_1L;авок и расчетов с потребителями по тонно-проценту содержащихся в удобрениях питатель
материально-технической;составное;1966_v6;IMG_0115_1L;рениями — важный фактор укрепления материально-технической базы сельскохозяйственного произво
предприятий-изготовителей;составное;1966_v6;IMG_0115_2R; материальные ресурсы не только от предприятий-изготовителей, но и со складов снабженческо-сбыт
каком-либо;составное;1966_v6;IMG_0115_2R;плановая потребность предприятия в каком-либо материале не достигает нормы отпус
заводу-изготовителю;составное;1966_v6;IMG_0116_1L;рмами, потребитель обязан заказать заводу-изготовителю каждый сорторазмер рядового металл
завода-изготовителя;составное;1966_v6;IMG_0116_1L;о потребитель, который получает от завода-изготовителя несколько сорторазмеров, мог бы за
по-своему;составное;1966_v6;IMG_0116_1L;вагон. Поэтому каждый шинный завод по-своему трактует норму погрузки. Например,
погрузочно-разгрузочным;составное;1966_v6;IMG_0117_1L;словиям транспортировки, хранения, погрузочно-разгрузочным работам и т. д.  Во-вторых, метод 
предприятие-потребитель;составное;1966_v6;IMG_0117_1L;когда продукт получает только одно предприятие-потребитель, и совершенно иной — при нескольки
производственно-экономическими;составное;1966_v6;IMG_0117_1L;выше, определяется главным образом производственно-экономическими условиями. В отличие от нее величи
материально-техническом;составное;1966_v6;IMG_0117_2R;бствовать ликвидации недостатков в материально-техническом снабжении и сбыте. Плановые транзи
предприятиями-смежниками;составное;1966_v6;IMG_0118_2R;енно между головным предприятием и предприятиями-смежниками, а также между последними друг с д
производственно-техническую;составное;1966_v6;IMG_0118_2R; предприятие существенно влияет на производственно-техническую и правовую стороны деятельности см
планово-договорных;составное;1966_v6;IMG_0118_2R;а и взаимопомощи между участниками планово-договорных обязательств в период развернутого
заказ-нарядов;составное;1966_v6;IMG_0119_1L;словиях, обеспечивающих выполнение заказ-нарядов заказчиков. Заказ-наряды головных 
кто-либо;составное;1966_v6;IMG_0119_1L;но головное предприятие лучше, чем кто-либо другой, знает все те условия, кото
предприятии-смежнике;составное;1966_v6;IMG_0119_2R;а отсюда и за качеством изделий на предприятии-смежнике.  При обычных поставках продукции 
оперативно-хозяйственную;составное;1966_v6;IMG_0119_2R;сти и не вмешиваясь при этом в его оперативно-хозяйственную деятельность.  Нельзя не заметить,
предприятия-смежника;составное;1966_v6;IMG_0120_1L;ветствующее материальное поощрение предприятия-смежника головным поставщиком.  * * *  Сейч
Архитектурно-строительная;составное;1966_v6;IMG_0120_2R;рования и строительства таких баз. Архитектурно-строительная часть проекта разработана ГПИ-6, т
кран-штабелеры;составное;1966_v6;IMG_0121_1L;ктропогрузчики и штабелеукладчики, кран-штабелеры лифтового или подвесного типа груз
информационно-вычислительные;составное;1966_v6;IMG_0122_1L;ьших вычислительных работ. Поэтому информационно-вычислительные центры должны стать обязательной ч
алфавитно-цифровых;составное;1966_v6;IMG_0122_1L;100 тыс. т составит около 1,3 млн. алфавитно-цифровых знаков в смену. Расчеты показали, 
счетно-конторского;составное;1966_v6;IMG_0122_1L;ло бы иметь 200 человек учетного и счетно-конторского персонала. Применение электронной 
сливо-наливное;составное;1966_v6;IMG_0122_1L;" парка; 4 — резервуарный парк; 5 — сливо-наливное устройство резервуарного парка; 6 "
административно-хозяйственный;составное;1966_v6;IMG_0122_2R;459 418 287   в том числе:         административно-хозяйственный и управленческий персонал 100в том
строительно-монтажные;составное;1966_v6;IMG_0122_2R;8 2410 3424   в том числе:         строительно-монтажные работы, тыс. руб. 1330 2170 3080 3
учетно-счетного;составное;1966_v6;IMG_0123_1L;вов оборотных средств. Численность учетно-счетного персонала в системе материально-те
кузнечно-прессового;составное;1966_v6;IMG_0124_1L;района — Челябинских тракторного и кузнечно-прессового заводов и Уральского автомобильног
кузнечно-прессовому;составное;1966_v6;IMG_0124_1L;стет.  В прошлом году Челябинскому кузнечно-прессовому заводу Новокузнецкий меткомбинат о
предприятию-изготовителю;составное;1966_v6;IMG_0125_1L;мых по- требителем непосредственно предприятию-изготовителю, что будет спо- собствовать дальне
научно-исследовательские;составное;1966_v6;IMG_0125_2R;ких работ. Надо прямо сказать, что научно-исследовательские организации неохотно идут на заклю
строительно-монтажных;составное;1966_v6;IMG_0127_1L; из-за неудовлетворительной работы строительно-монтажных организаций Министерства строитель
технико-экономического;составное;1966_v6;IMG_0127_2R;тическими, они устанавливаются без технико-экономического обоснования. В связи с этим на 196
котельно-печного;составное;1966_v6;IMG_0127_2R;а 1966 г. утверждены нормы расхода котельно-печного топлива на 5—12% выше фактически д
киловатт-час;составное;1966_v6;IMG_0127_2R;ые на 10—40 г на каждый отпущенный киловатт-час. При этом около половины электрост
автомобилей-тягачей;составное;1966_v6;IMG_0128_1L;нспорта, не хватает автоприцепов и автомобилей-тягачей, имеют место дальние междугородние
горюче-смазочных;составное;1966_v6;IMG_0128_2R; было израсходовано около 9 тыс. т горюче-смазочных материалов. В 1966 г. перегон авто
Котлы-утилизаторы;составное;1966_v6;IMG_0128_2R;ся значительные потери конденсата. Котлы-утилизаторы осваиваются длительное время, они 
целлюлозно-бумажной;составное;1966_v6;IMG_0129_1L;.  На заводах Министерства лесной, целлюлозно-бумажной и деревообрабатывающей промышленно
коммунисты-динамовцы;составное;1966_v6;IMG_0132_1L;я организация завода «Динамо», все коммунисты-динамовцы считают своим первейшим долгом нап
трудо-часов;спорно;1966_v6;IMG_0132_1L;то позволило сэкономить 998,7 тыс. трудо-часов, 412,8 т цветных и 1754,4 т 
краново-металлургического;составное;1966_v6;IMG_0132_2R;еред запрессовкой их на вал ротора краново-металлургического электродвигателя. Листы железа под
инженерно-технические;составное;1966_v6;IMG_0133_1L;нию этих задач были привлечены все инженерно-технические работники завода. По-новому стимул
кузнечно-сварочном;составное;1966_v6;IMG_0133_2R;ения на металлорежущих станках и в кузнечно-сварочном производстве. Однако для этого нуж
научно-исследовательского;составное;1966_v6;IMG_0134_1L;и изоляционного отдела Всесоюзного научно-исследовательского и проектно-технологического инстит
проектно-технологического;составное;1966_v6;IMG_0134_1L;юзного научно-исследовательского и проектно-технологического института при заводе «Динамо» (ВНИ
планово-экономическим;составное;1966_v6;IMG_0134_2R;го технолога, главного металлурга, планово-экономическим, отделом труда и заработной платы.
киловатт-часов;составное;1966_v6;IMG_0134_2R;бережены народные средства, тысячи киловатт-часов электроэнергии, тонны металла и ма
предприятиям-поставщикам;составное;1966_v6;IMG_0135_1L;ом за несвоевременный возврат тары предприятиям-поставщикам. Причины оказались простыми — никт
Двигатель-возбудитель;составное;1966_v6;IMG_0135_1L;ваемым возбудителем серии ДК-913.  Двигатель-возбудитель делается так: из Латвии с Рижского
инженерно-технических;составное;1966_v6;IMG_0135_1L;ых делегировано свыше 400 рабочих, инженерно-технических работников, служащих и пенсионеров
сарей-сборщиков;спорно;1966_v6;IMG_0136_1L;игады коммунистического труда сле- сарей-сборщиков крупных электродвигателей переменн
административно-управленческого;составное;1966_v6;IMG_0136_1L;есте с тем сокращаем числен- ность административно-управленческого персонала на 36 человек.  У нас по
административно-управленческие;составное;1966_v6;IMG_0136_2R;анзитному товарообороту (например, административно-управленческие расходы), и поэтому анализировать 
административно-управленческих;составное;1966_v6;IMG_0137_1L;и отделений. Относительный уровень административно-управленческих расходов принято планировать и ана
почтово-телеграфные;составное;1966_v6;IMG_0137_1L;большие затраты времени и средств, почтово-телеграфные и телефонные расходы и др. Поэтому
до-полнительного;перенос;1966_v6;IMG_0137_2R;лан товарооборота выполнен за счет до-полнительного поступления товаров при наличии кр
задол-женности;перенос;1966_v6;IMG_0137_2R;я товаров при наличии кредиторской задол-женности. К сожалению, почти нет, если не с
измене-ния;перенос;1966_v6;IMG_0137_2R;ти нет, если не считать небольшого измене-ния издержек за счет процентов, уплаче
руко-водителей;перенос;1966_v6;IMG_0137_2R;"ствами; во-вторых, будет побуждать руко-водителей и коллективы своевременно реализов"
ресур-сы;перенос;1966_v6;IMG_0137_2R;евременно реализовать материальные ресур-сы и создавать условия для их лучшего
процен-та;перенос;1966_v6;IMG_0137_2R;ных фондов. Взимание определенного процен-та от стоимости основных средств, чис
нера-ционально;перенос;1966_v6;IMG_0137_2R;льшим расходом, а для организаций, нера-ционально использующих основные средства, эт
весь-ма;перенос;1966_v6;IMG_0137_2R;овные средства, этот расход был бы весь-ма чувствителен.  Степень рационально
непосред-ственно;перенос;1966_v6;IMG_0137_2R;ьности использования фондов должна непосред-ственно отражаться на издержках обращения 
деятель-ности;перенос;1966_v6;IMG_0137_2R; издержках обращения и результатах деятель-ности снабженческо-сбытовых организаций.
убе-диться;перенос;1966_v6;IMG_0137_2R;овых организаций. Коллектив должен убе-диться, что в случае плохого использовани
Отчисле-ния;перенос;1966_v6;IMG_0137_2R; для образования фондов поощрения. Отчисле-ния в бюджет за пользование основными 
це-лесообразно;перенос;1966_v6;IMG_0137_2R; основными и оборотными средствами це-лесообразно дифференцировать: отчисления по св
сле-довало;перенос;1966_v6;IMG_0137_2R;в и неиспользованному оборудованию сле-довало бы установить намного выше, чем от
таб-лице;перенос;1966_v6;IMG_0137_2R;аблице издержек обращения, так и в таб-лице прибылей и убытков, но обязательно
пре-делах;перенос;1966_v6;IMG_0137_2R;бязательно раздельно от расходов в пре-делах норм.  Снабженческим организациям 
норма-тивы;перенос;1966_v6;IMG_0137_2R;изациям нужны различные нормативы: норма-тивы по труду (нагрузка на одного работ
опре-деленного;перенос;1966_v6;IMG_0137_2R;"одного работника склада материалов опре-деленного профиля); нормативы по использован"
рабочих-грузчиков;составное;1966_v6;IMG_0137_2R;"ди складов; средние нормы нагрузки рабочих-грузчиков; поста-тейные средние нормы издерж"
поста-тейные;перенос;1966_v6;IMG_0137_2R;" нормы нагрузки рабочих-грузчиков; поста-тейные средние нормы издержек по видам пр"
поль-зуются;перенос;1966_v6;IMG_0137_2R;перевозке и при хранении, которыми поль-зуются снабженческие организации, не пере
на-деляются;перенос;1966_v6;IMG_0137_2R; вопрос. Снабженческие организации на-деляются собственными оборотными средствами
норма-тива;перенос;1966_v6;IMG_0137_2R;боротными средствами в размере 50% норма-тива за вычетом устойчивых пассивов. По
социально-му;перенос;1966_v6;IMG_0137_2R;и соответствующая задолженность по социально-му страхованию, резервы предстоящих п
за-долженность;перенос;1966_v6;IMG_0137_2R;стойчивым пассивам также случайную за-долженность покупателям, разным кредиторам и д
чулочно-носочных;составное;1966_v6;IMG_0138_1L;льных материалов, плащевых тканей, чулочно-носочных и других изделий бытового и технич
вагонов-хопперов;составное;1966_v6;IMG_0138_2R; сумму 211 200 руб. 26 специальных вагонов-хопперов с сажей занимают все подъездные же
какой-то;составное;1966_v6;IMG_0139_1L;бжению и его органы должны создать какой-то отдел или выделить группу лиц, кот
заводам-потребителям;составное;1966_v6;IMG_0139_1L;тоящее время с такими поставщиками заводам-потребителям самим справиться очень трудно.  Не
научно-исследовательскими;составное;1966_v6;IMG_0139_1L;различных технологических рецептур научно-исследовательскими институтами. Прежде чем дать рецеп
какой-либо;составное;1966_v6;IMG_0139_2R;при чем. Но стоит только произойти какой-либо заминке, как по всем средствам свя
снабженцев-смежников;составное;1966_v6;IMG_0139_2R; ни стало!» Но как? Где? У друзей, снабженцев-смежников. И начинаются поиски...  Подобные 
научно-экономическим;составное;1966_v6;IMG_0139_2R;вуются теперь в своей деятельности научно-экономическим критерием, конкретным воплощением 
материально-техническая;составное;1966_v6;IMG_0139_2R;задача не из легких. И не случайно материально-техническая служба завода — один из самых чувс
инженерно-экономический;составное;1966_v6;IMG_0139_2R;естителем начальника цеха, окончил инженерно-экономический институт, руководил одним из произ
