issue,page_number,scan_rel_path,index,x0,y0,x1,y1,dpi,verdict,reason,inner_v,inner_h,gutters,gutter_share,line_span,lattice,glyph_share,glyph_of_ink,edge_fill,cells,filled_cells
1966_06,46,1966/06/IMG_0126_2R.tif,0,391,335,809,773,150,таблица,,2.0,1.0,0.0,0.0,0.244,1.0,0.0951,0.769,1.0,6.0,1.0
1966_06,53,1966/06/IMG_0130_1L.tif,0,72,308,446,672,150,таблица,,3.0,1.0,1.0,0.046,0.12,1.0,0.0834,0.807,0.857,5.0,1.0
1966_06,53,1966/06/IMG_0130_1L.tif,1,79,718,443,1109,150,таблица,,3.0,1.0,1.0,0.035,0.124,1.0,0.0859,0.813,1.0,4.0,1.0
1966_06,54,1966/06/IMG_0130_2R.tif,0,80,403,809,921,150,таблица,,10.0,2.0,5.0,0.076,0.06,1.0,0.089,0.823,0.864,13.0,0.923
1966_06,55,1966/06/IMG_0131_1L.tif,0,83,705,507,1205,150,таблица,,5.0,2.0,0.0,0.0,0.085,1.0,0.095,0.83,0.588,8.0,1.0
1966_06,56,1966/06/IMG_0131_2R.tif,0,87,135,809,655,150,таблица,,12.0,1.0,2.0,0.043,0.051,1.0,0.0819,0.85,1.0,12.0,1.0
1966_06,62,1966/06/IMG_0134_2R.tif,0,451,845,816,1161,150,таблица,,6.0,1.0,1.0,0.032,0.09,1.0,0.1028,0.693,0.875,12.0,0.917
1966_06,63,1966/06/IMG_0135_1L.tif,0,130,443,770,764,150,таблица,,9.0,3.0,4.0,0.13,0.058,1.0,0.073,0.617,0.689,17.0,1.0
1966_06,63,1966/06/IMG_0135_1L.tif,1,71,1265,423,1418,150,таблица,,4.0,1.0,4.0,0.207,0.031,1.0,0.0824,0.623,1.0,8.0,0.5
1966_06,64,1966/06/IMG_0135_2R.tif,0,86,536,802,831,150,таблица,,21.0,3.0,2.0,0.045,0.047,1.0,0.0939,0.661,0.848,30.0,1.0
1966_06,64,1966/06/IMG_0135_2R.tif,1,77,912,820,1421,150,таблица,,15.0,8.0,0.0,0.0,0.044,1.0,0.0844,0.663,0.611,32.0,1.0
1966_06,65,1966/06/IMG_0136_1L.tif,0,131,968,775,1391,150,таблица,,9.0,5.0,6.0,0.136,0.054,1.0,0.0497,0.586,0.718,22.0,0.773
1966_06,67,1966/06/IMG_0137_1L.tif,0,60,163,842,676,150,таблица,,18.0,5.0,0.0,0.0,0.013,1.0,0.065,0.559,0.715,49.0,0.918
1966_06,67,1966/06/IMG_0137_1L.tif,1,56,1007,835,1415,150,таблица,,11.0,4.0,7.0,0.133,0.047,1.0,0.0879,0.687,0.712,19.0,1.0
1966_06,68,1966/06/IMG_0137_2R.tif,0,120,759,765,1401,150,таблица,,11.0,5.0,7.0,0.147,0.069,1.0,0.0661,0.691,0.816,22.0,1.0
1966_06,81,1966/06/IMG_0144_1L.tif,0,462,962,835,1161,150,таблица,,3.0,1.0,8.0,0.302,0.07,1.0,0.0814,0.755,1.0,8.0,1.0
1966_06,83,1966/06/IMG_0145_1L.tif,0,58,1011,844,1328,150,таблица,,15.0,3.0,1.0,0.022,0.052,1.0,0.0701,0.617,0.671,22.0,0.955
1966_06,85,1966/06/IMG_0146_1L.tif,0,463,724,840,952,150,таблица,,2.0,2.0,0.0,0.0,0.166,1.0,0.096,0.707,0.75,6.0,1.0
1966_06,86,1966/06/IMG_0146_2R.tif,0,457,151,823,542,150,нет,"одна вертикаль и всего 2 ячейки — это колонтитул, а не таблица",1.0,1.0,0.0,0.0,0.172,1.0,0.111,0.797,0.75,2.0,1.0
1966_06,90,1966/06/IMG_0148_2R.tif,0,80,96,785,690,150,таблица,,4.0,1.0,1.0,0.018,0.163,1.0,0.0972,0.818,1.0,8.0,0.75
1966_06,97,1966/06/IMG_0152_1L.tif,0,84,380,819,860,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,2.0,0.08,0.149,0.0,0.0996,0.847,1.0,2.0,0.5
1967_01,18,1967/01/IMG_0012_2R.tif,0,478,1087,805,1264,150,таблица,,2.0,1.0,2.0,0.1,0.101,1.0,0.0655,0.583,1.0,6.0,1.0
1967_01,28,1967/01/IMG_0017_2R.tif,0,317,113,805,342,150,таблица,,8.0,1.0,6.0,0.416,0.051,1.0,0.0823,0.587,1.0,12.0,1.0
1967_01,32,1967/01/IMG_0019_2R.tif,0,50,1121,807,1406,150,таблица,,7.0,2.0,7.0,0.118,0.046,1.0,0.0788,0.609,0.784,18.0,0.889
1967_01,38,1967/01/IMG_0022_2R.tif,0,398,233,811,495,150,таблица,,2.0,1.0,2.0,0.052,0.063,1.0,0.093,0.658,1.0,6.0,1.0
1967_01,38,1967/01/IMG_0022_2R.tif,1,345,752,810,1093,150,таблица,,4.0,3.0,0.0,0.0,0.095,1.0,0.092,0.663,0.75,11.0,0.909
1967_01,47,1967/01/IMG_0027_1L.tif,0,64,177,788,585,150,таблица,,5.0,4.0,10.0,0.206,0.055,1.0,0.0558,0.567,0.776,19.0,0.947
1967_01,61,1967/01/IMG_0034_1L.tif,0,68,671,478,935,150,таблица,,3.0,1.0,3.0,0.171,0.138,1.0,0.0858,0.651,1.0,6.0,1.0
1967_01,81,1967/01/IMG_0044_1L.tif,0,45,712,414,911,150,таблица,,5.0,1.0,0.0,0.0,0.057,1.0,0.0651,0.531,0.9,8.0,1.0
1967_01,81,1967/01/IMG_0044_1L.tif,1,47,1250,792,1425,150,таблица,,14.0,0.0,15.0,0.581,0.011,0.0,0.078,0.523,1.0,15.0,1.0
1967_01,82,1967/01/IMG_0044_2R.tif,0,54,161,812,337,150,таблица,,13.0,0.0,11.0,0.438,0.011,0.0,0.0668,0.52,1.0,13.0,1.0
1967_01,97,1967/01/IMG_0052_1L.tif,0,80,192,744,626,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,2.0,0.039,0.134,0.0,0.1349,0.906,0.0,1.0,1.0
1967_02,55,1967/02/IMG_0081_1L.tif,0,53,133,521,479,150,таблица,,2.0,2.0,2.0,0.067,0.182,1.0,0.0704,0.658,1.0,9.0,1.0
1967_02,55,1967/02/IMG_0081_1L.tif,1,56,535,526,955,150,таблица,,12.0,4.0,0.0,0.0,0.074,1.0,0.0843,0.667,0.8,18.0,0.944
1967_02,56,1967/02/IMG_0081_2R.tif,0,429,136,806,309,150,таблица,,5.0,1.0,3.0,0.085,0.095,1.0,0.1048,0.709,1.0,10.0,1.0
1967_02,74,1967/02/IMG_0091_2R.tif,0,432,723,781,1117,150,таблица,,8.0,10.0,5.0,0.904,0.006,1.0,0.0019,0.012,0.738,82.0,0.098
1967_02,75,1967/02/IMG_0092_1L.tif,0,214,119,754,390,150,таблица,,9.0,4.0,3.0,0.896,0.004,1.0,0.0018,0.018,1.0,50.0,0.1
1967_02,97,1967/02/IMG_0103_1L.tif,0,73,189,757,620,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,2.0,0.072,0.11,0.0,0.1213,0.894,0.0,1.0,1.0
1967_03,7,1967/03/IMG_0108_1L.tif,0,61,305,803,1045,150,таблица,,6.0,2.0,0.0,0.0,0.042,1.0,0.091,0.785,0.625,10.0,0.9
1967_03,8,1967/03/IMG_0108_2R.tif,0,54,1051,808,1377,150,таблица,,8.0,2.0,5.0,0.082,0.042,1.0,0.065,0.634,0.625,10.0,0.9
1967_03,9,1967/03/IMG_0109_1L.tif,0,54,314,810,780,150,нет,"не таблица: рёбер на месте 44%, букв в краске 71%, колонок 7",7.0,3.0,5.0,0.073,0.036,1.0,0.0735,0.708,0.444,10.0,0.9
1967_03,11,1967/03/IMG_0110_1L.tif,0,59,202,804,539,150,таблица,,8.0,5.0,0.0,0.0,0.044,1.0,0.078,0.653,0.539,19.0,0.947
1967_03,12,1967/03/IMG_0110_2R.tif,0,61,139,801,342,150,таблица,,11.0,2.0,4.0,0.062,0.023,1.0,0.0816,0.646,0.982,36.0,1.0
1967_03,13,1967/03/IMG_0111_1L.tif,0,58,224,802,654,150,таблица,,27.0,4.0,3.0,0.055,0.024,1.0,0.0432,0.462,0.884,52.0,1.0
1967_03,70,1967/03/IMG_0139_2R.tif,0,69,171,796,456,150,таблица,,9.0,3.0,7.0,0.128,0.028,1.0,0.063,0.559,0.894,34.0,0.941
1967_03,70,1967/03/IMG_0139_2R.tif,1,69,741,794,1046,150,таблица,,11.0,3.0,6.0,0.161,0.023,1.0,0.0575,0.531,0.879,33.0,0.97
1967_03,71,1967/03/IMG_0140_1L.tif,0,52,271,809,531,150,таблица,,6.0,2.0,5.0,0.134,0.045,1.0,0.0821,0.683,0.741,12.0,1.0
1967_03,72,1967/03/IMG_0140_2R.tif,0,67,258,794,539,150,таблица,,5.0,2.0,2.0,0.028,0.055,1.0,0.0745,0.646,0.778,12.0,1.0
1967_03,74,1967/03/IMG_0141_2R.tif,0,378,273,792,505,150,таблица,,6.0,2.0,2.0,0.205,0.099,1.0,0.0758,0.597,0.882,11.0,0.818
1967_04,20,1967/04/IMG_0013_2R.tif,0,56,891,808,1116,150,таблица,,10.0,1.0,3.0,0.04,0.047,1.0,0.0994,0.672,1.0,18.0,1.0
1967_04,24,1967/04/IMG_0015_2R.tif,0,425,420,802,673,150,таблица,,2.0,1.0,0.0,0.0,0.167,1.0,0.0692,0.625,1.0,4.0,1.0
1967_04,25,1967/04/IMG_0016_1L.tif,0,64,279,428,511,150,таблица,,1.0,1.0,0.0,0.0,0.091,1.0,0.0713,0.63,1.0,4.0,1.0
1967_04,25,1967/04/IMG_0016_1L.tif,1,61,676,798,1076,150,таблица,,3.0,2.0,9.0,0.174,0.063,1.0,0.0582,0.656,1.0,9.0,1.0
1967_04,65,1967/04/IMG_0036_1L.tif,0,57,233,482,433,150,таблица,,3.0,2.0,6.0,0.178,0.075,1.0,0.069,0.561,0.647,6.0,1.0
1967_05,18,1967/05/IMG_0062_1L.tif,0,62,125,476,603,150,таблица,,3.0,2.0,0.0,0.0,0.147,1.0,0.092,0.741,1.0,9.0,1.0
1967_05,57,1967/05/IMG_0081_2R.tif,0,340,117,792,289,150,таблица,,6.0,1.0,1.0,0.032,0.107,1.0,0.0709,0.579,1.0,8.0,0.875
1967_05,70,1967/05/IMG_0088_1L.tif,0,48,1030,792,1404,150,таблица,,7.0,3.0,1.0,0.019,0.047,1.0,0.0866,0.694,0.689,15.0,0.867
1967_05,71,1967/05/IMG_0088_2R.tif,0,366,552,788,852,150,таблица,,2.0,1.0,3.0,0.115,0.085,1.0,0.0791,0.688,1.0,6.0,0.833
1967_05,71,1967/05/IMG_0088_2R.tif,1,366,901,792,1229,150,таблица,,3.0,1.0,3.0,0.14,0.082,1.0,0.0767,0.69,1.0,6.0,0.833
1967_05,76,1967/05/IMG_0091_1L.tif,0,35,128,492,688,150,таблица,,2.0,2.0,1.0,0.022,0.085,1.0,0.109,0.783,1.0,9.0,1.0
1967_05,77,1967/05/IMG_0091_2R.tif,0,44,131,803,390,150,таблица,,6.0,2.0,3.0,0.053,0.027,1.0,0.0692,0.653,0.591,10.0,1.0
1967_05,78,1967/05/IMG_0092_1L.tif,0,41,127,486,1005,150,таблица,,4.0,3.0,0.0,0.0,0.076,1.0,0.0907,0.769,0.833,12.0,1.0
1967_05,79,1967/05/IMG_0092_2R.tif,0,435,281,805,505,150,таблица,,1.0,1.0,1.0,0.031,0.181,1.0,0.0842,0.658,1.0,4.0,1.0
1967_05,80,1967/05/IMG_0093_1L.tif,0,42,119,408,428,150,таблица,,1.0,1.0,1.0,0.035,0.269,1.0,0.1338,0.79,1.0,4.0,1.0
1967_05,98,1967/05/IMG_0102_1L.tif,0,95,217,769,600,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,2.0,0.065,0.117,0.0,0.1271,0.89,0.0,1.0,1.0
1967_06,4,1967/06/IMG_0105_2R.tif,0,68,142,805,632,150,таблица,,12.0,6.0,0.0,0.0,0.046,1.0,0.0699,0.646,0.512,17.0,1.0
1967_06,4,1967/06/IMG_0105_2R.tif,1,378,789,806,1094,150,таблица,,5.0,2.0,3.0,0.103,0.083,1.0,0.0922,0.651,0.818,11.0,1.0
1967_06,22,1967/06/IMG_0114_2R.tif,0,73,168,490,411,150,таблица,,6.0,3.0,2.0,0.206,0.078,1.0,0.0888,0.612,0.658,12.0,1.0
1967_06,32,1967/06/IMG_0119_2R.tif,0,78,342,522,744,150,таблица,,2.0,2.0,0.0,0.0,0.093,1.0,0.0797,0.722,0.75,6.0,1.0
1967_06,32,1967/06/IMG_0119_2R.tif,1,78,832,492,1052,150,таблица,,5.0,2.0,2.0,0.101,0.037,1.0,0.0659,0.561,0.818,12.0,0.917
1967_06,33,1967/06/IMG_0120_1L.tif,0,56,174,821,587,150,таблица,,9.0,2.0,9.0,0.166,0.047,1.0,0.0814,0.69,0.784,16.0,1.0
1967_06,34,1967/06/IMG_0120_2R.tif,0,78,169,802,443,150,таблица,,4.0,2.0,4.0,0.08,0.054,1.0,0.0725,0.649,0.864,13.0,0.923
1967_06,36,1967/06/IMG_0121_2R.tif,0,72,136,813,956,150,таблица,,6.0,4.0,0.0,0.0,0.046,1.0,0.0807,0.706,0.707,22.0,0.955
1967_06,38,1967/06/IMG_0122_2R.tif,0,379,940,798,1190,150,таблица,,3.0,3.0,5.0,0.175,0.152,1.0,0.0616,0.571,0.875,14.0,0.857
1967_06,49,1967/06/IMG_0128_1L.tif,0,54,259,827,969,150,таблица,,41.0,18.0,0.0,0.0,0.012,1.0,0.0492,0.473,0.483,80.0,0.875
1967_06,69,1967/06/IMG_0138_1L.tif,0,59,996,821,1171,150,таблица,,10.0,1.0,1.0,0.014,0.062,1.0,0.0702,0.615,1.0,16.0,1.0
1967_06,70,1967/06/IMG_0138_2R.tif,0,74,922,801,1249,150,таблица,,13.0,3.0,1.0,0.015,0.029,1.0,0.0856,0.615,0.671,23.0,1.0
1967_06,71,1967/06/IMG_0139_1L.tif,0,66,342,811,599,150,таблица,,11.0,3.0,8.0,0.154,0.031,1.0,0.0748,0.626,0.61,18.0,1.0
1967_06,71,1967/06/IMG_0139_1L.tif,1,70,835,812,1036,150,таблица,,5.0,2.0,6.0,0.122,0.07,1.0,0.0563,0.553,0.818,11.0,0.909
1967_06,75,1967/06/IMG_0141_1L.tif,0,450,268,827,500,150,таблица,,3.0,2.0,4.0,0.255,0.069,1.0,0.0613,0.565,1.0,12.0,1.0
1967_06,76,1967/06/IMG_0141_2R.tif,0,129,134,759,338,150,таблица,,4.0,2.0,5.0,0.137,0.054,1.0,0.0711,0.589,0.591,7.0,0.857
1967_06,77,1967/06/IMG_0142_1L.tif,0,118,831,762,1118,150,таблица,,6.0,1.0,4.0,0.161,0.054,1.0,0.0859,0.695,1.0,8.0,1.0
1967_06,85,1967/06/IMG_0146_1L.tif,0,50,728,829,1043,150,таблица,,10.0,3.0,6.0,0.176,0.047,1.0,0.048,0.522,0.911,25.0,0.92
1967_06,87,1967/06/IMG_0147_1L.tif,0,63,352,814,1076,150,таблица,,6.0,7.0,0.0,0.0,0.056,1.0,0.0593,0.627,0.831,30.0,0.933
1967_06,97,1967/06/IMG_0152_1L.tif,0,81,97,812,508,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,2.0,0.066,0.136,0.0,0.1237,0.882,0.0,1.0,1.0
1967_07,2,1967/07/IMG_0004_2R.tif,0,38,808,396,1391,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,1.0,0.106,0.193,0.0,0.1471,0.927,0.0,1.0,1.0
1967_07,2,1967/07/IMG_0004_2R.tif,1,478,811,834,1392,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,1.0,0.107,0.247,0.0,0.122,0.919,0.0,1.0,1.0
1967_07,69,1967/07/IMG_0038_1L.tif,0,77,109,814,508,150,таблица,,5.0,2.0,2.0,0.039,0.054,1.0,0.0732,0.709,0.682,9.0,0.889
1967_07,73,1967/07/IMG_0040_1L.tif,0,87,107,807,1417,150,таблица,,16.0,60.0,1.0,0.013,0.014,1.0,0.0292,0.394,0.774,171.0,0.585
1967_07,82,1967/07/IMG_0044_2R.tif,0,60,894,382,1093,150,таблица,,4.0,2.0,4.0,0.186,0.065,1.0,0.0771,0.611,0.818,13.0,0.846
1967_07,89,1967/07/IMG_0048(1)_1L.tif,0,49,710,824,1064,150,таблица,,5.0,3.0,2.0,0.029,0.057,1.0,0.06,0.621,0.789,17.0,0.941
1967_08,3,1967/08/IMG_0055_1L.tif,0,56,280,789,670,150,таблица,,3.0,2.0,3.0,0.054,0.056,1.0,0.0572,0.65,0.824,9.0,0.889
